080101 N- ----NSM- Παῦλος Παῦλος Παῦλος Παῦλος
080101 N- ----NSM- ἀπόστολος ἀπόστολος ἀπόστολος ἀπόστολος
080101 N- ----GSM- Χριστοῦ Χριστοῦ Χριστοῦ Χριστός
080101 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
080101 P- -------- διὰ διὰ διά διά
080101 N- ----GSN- θελήματος θελήματος θελήματος θέλημα
080101 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
080101 C- -------- καὶ καὶ καί καί
080101 N- ----NSM- Τιμόθεος Τιμόθεος Τιμόθεος Τιμόθεος
080101 RA ----NSM- ὁ ὁ ὁ ὁ
080101 N- ----NSM- ἀδελφὸς ἀδελφὸς ἀδελφός ἀδελφός
080101 RA ----DSF- τῇ τῇ τῇ ὁ
080101 N- ----DSF- ἐκκλησίᾳ ἐκκλησίᾳ ἐκκλησίᾳ ἐκκλησία
080101 RA ----GSM- τοῦ τοῦ τοῦ ὁ
080101 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
080101 RA ----DSF- τῇ τῇ τῇ ὁ
080101 V- -PAPDSF- οὔσῃ οὔσῃ οὔσῃ εἰμί
080101 P- -------- ἐν ἐν ἐν ἐν
080101 N- ----DSF- Κορίνθῳ, Κορίνθῳ Κορίνθῳ Κόρινθος
080101 P- -------- σὺν σὺν σύν σύν
080101 RA ----DPM- τοῖς τοῖς τοῖς ὁ
080101 A- ----DPM- ἁγίοις ἁγίοις ἁγίοις ἅγιος
080101 A- ----DPM- πᾶσιν πᾶσιν πᾶσι(ν) πᾶς
080101 RA ----DPM- τοῖς τοῖς τοῖς ὁ
080101 V- -PAPDPM- οὖσιν οὖσιν οὖσι(ν) εἰμί
080101 P- -------- ἐν ἐν ἐν ἐν
080101 A- ----DSF- ὅλῃ ὅλῃ ὅλῃ ὅλος
080101 RA ----DSF- τῇ τῇ τῇ ὁ
080101 N- ----DSF- Ἀχαΐᾳ· Ἀχαΐᾳ Ἀχαΐᾳ Ἀχαΐα
080102 N- ----NSF- χάρις χάρις χάρις χάρις
080102 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
080102 C- -------- καὶ καὶ καί καί
080102 N- ----NSF- εἰρήνη εἰρήνη εἰρήνη εἰρήνη
080102 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
080102 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
080102 N- ----GSM- πατρὸς πατρὸς πατρός πατήρ
080102 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
080102 C- -------- καὶ καὶ καί καί
080102 N- ----GSM- κυρίου κυρίου κυρίου κύριος
080102 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
080102 N- ----GSM- Χριστοῦ. Χριστοῦ Χριστοῦ Χριστός
080103 A- ----NSM- Εὐλογητὸς Εὐλογητὸς εὐλογητός εὐλογητός
080103 RA ----NSM- ὁ ὁ ὁ ὁ
080103 N- ----NSM- θεὸς θεὸς θεός θεός
080103 C- -------- καὶ καὶ καί καί
080103 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
080103 RA ----GSM- τοῦ τοῦ τοῦ ὁ
080103 N- ----GSM- κυρίου κυρίου κυρίου κύριος
080103 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
080103 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
080103 N- ----GSM- Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
