060701 C- -------- Ἢ Ἢ ἤ ἤ
060701 V- 2PAI-P-- ἀγνοεῖτε, ἀγνοεῖτε ἀγνοεῖτε ἀγνοέω
060701 N- ----VPM- ἀδελφοί, ἀδελφοί ἀδελφοί ἀδελφός
060701 V- -PAPDPM- γινώσκουσιν γινώσκουσιν γινώσκουσι(ν) γινώσκω
060701 C- -------- γὰρ γὰρ γάρ γάρ
060701 N- ----ASM- νόμον νόμον νόμον νόμος
060701 V- 1PAI-S-- λαλῶ, λαλῶ λαλῶ λαλέω
060701 C- -------- ὅτι ὅτι ὅτι ὅτι
060701 RA ----NSM- ὁ ὁ ὁ ὁ
060701 N- ----NSM- νόμος νόμος νόμος νόμος
060701 V- 3PAI-S-- κυριεύει κυριεύει κυριεύει κυριεύω
060701 RA ----GSM- τοῦ τοῦ τοῦ ὁ
060701 N- ----GSM- ἀνθρώπου ἀνθρώπου ἀνθρώπου ἄνθρωπος
060701 P- -------- ἐφ’ ἐφ’ ἐπί ἐπί
060701 RR ----ASM- ὅσον ὅσον ὅσον ὅσος
060701 N- ----ASM- χρόνον χρόνον χρόνον χρόνος
060701 V- 3PAI-S-- ζῇ; ζῇ ζῇ ζάω
060702 RA ----NSF- ἡ ἡ ἡ ὁ
060702 C- -------- γὰρ γὰρ γάρ γάρ
060702 A- ----NSF- ὕπανδρος ὕπανδρος ὕπανδρος ὕπανδρος
060702 N- ----NSF- γυνὴ γυνὴ γυνή γυνή
060702 RA ----DSM- τῷ τῷ τῷ ὁ
060702 V- -PAPDSM- ζῶντι ζῶντι ζῶντι ζάω
060702 N- ----DSM- ἀνδρὶ ἀνδρὶ ἀνδρί ἀνήρ
060702 V- 3XPI-S-- δέδεται δέδεται δέδεται δέω
060702 N- ----DSM- νόμῳ· νόμῳ νόμῳ νόμος
060702 C- -------- ἐὰν ἐὰν ἐάν ἐάν
060702 C- -------- δὲ δὲ δέ δέ
060702 V- 3AAS-S-- ἀποθάνῃ ἀποθάνῃ ἀποθάνῃ ἀποθνῄσκω
060702 RA ----NSM- ὁ ὁ ὁ ὁ
060702 N- ----NSM- ἀνήρ, ἀνήρ ἀνήρ ἀνήρ
060702 V- 3XPI-S-- κατήργηται κατήργηται κατήργηται καταργέω
060702 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
060702 RA ----GSM- τοῦ τοῦ τοῦ ὁ
060702 N- ----GSM- νόμου νόμου νόμου νόμος
060702 RA ----GSM- τοῦ τοῦ τοῦ ὁ
060702 N- ----GSM- ἀνδρός. ἀνδρός ἀνδρός ἀνήρ
060703 C- -------- ἄρα ἄρα ἄρα ἄρα
060703 C- -------- οὖν οὖν οὖν οὖν
060703 V- -PAPGSM- ζῶντος ζῶντος ζῶντος ζάω
060703 RA ----GSM- τοῦ τοῦ τοῦ ὁ
060703 N- ----GSM- ἀνδρὸς ἀνδρὸς ἀνδρός ἀνήρ
060703 A- ----NSF- μοιχαλὶς μοιχαλὶς μοιχαλίς μοιχαλίς
060703 V- 3FAI-S-- χρηματίσει χρηματίσει χρηματίσει χρηματίζω
060703 C- -------- ἐὰν ἐὰν ἐάν ἐάν
060703 V- 3AMS-S-- γένηται γένηται γένηται γίνομαι
060703 N- ----DSM- ἀνδρὶ ἀνδρὶ ἀνδρί ἀνήρ
060703 A- ----DSM- ἑτέρῳ· ἑτέρῳ ἑτέρῳ ἕτερος
060703 C- -------- ἐὰν ἐὰν ἐάν ἐάν
060703 C- -------- δὲ δὲ δέ δέ
060703 V- 3AAS-S-- ἀποθάνῃ ἀποθάνῃ ἀποθάνῃ ἀποθνῄσκω
060703 RA ----NSM- ὁ ὁ ὁ ὁ
060703 N- ----NSM- ἀνήρ, ἀνήρ ἀνήρ ἀνήρ
060703 A- ----NSF- ἐλευθέρα ἐλευθέρα ἐλευθέρα ἐλεύθερος
060703 V- 3PAI-S-- ἐστὶν ἐστὶν ἐστί(ν) εἰμί
060703 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
060703 RA ----GSM- τοῦ τοῦ τοῦ ὁ
060703 N- ----GSM- νόμου, νόμου νόμου νόμος
060703 RA ----GSN- τοῦ τοῦ τοῦ ὁ
060703 D- -------- μὴ μὴ μή μή
060703 V- -PAN---- εἶναι εἶναι εἶναι εἰμί
060703 RP ----ASF- αὐτὴν αὐτὴν αὐτήν ἑαυτοῦ
060703 A- ----ASF- μοιχαλίδα μοιχαλίδα μοιχαλίδα μοιχαλίς
060703 V- -AMPASF- γενομένην γενομένην γενομένην γίνομαι
060703 N- ----DSM- ἀνδρὶ ἀνδρὶ ἀνδρί ἀνήρ
060703 A- ----DSM- ἑτέρῳ. ἑτέρῳ ἑτέρῳ ἕτερος
060704 C- -------- Ὥστε, Ὥστε ὥστε ὥστε
060704 N- ----VPM- ἀδελφοί ἀδελφοί ἀδελφοί ἀδελφός
060704 RP ----GS-- μου, μου μου ἐγώ
060704 D- -------- καὶ καὶ καί καί
060704 RP ----NP-- ὑμεῖς ὑμεῖς ὑμεῖς σύ
060704 V- 2API-P-- ἐθανατώθητε ἐθανατώθητε ἐθανατώθητε θανατόω
060704 RA ----DSM- τῷ τῷ τῷ ὁ
060704 N- ----DSM- νόμῳ νόμῳ νόμῳ νόμος
060704 P- -------- διὰ διὰ διά διά
060704 RA ----GSN- τοῦ τοῦ τοῦ ὁ
060704 N- ----GSN- σώματος σώματος σώματος σῶμα
060704 RA ----GSM- τοῦ τοῦ τοῦ ὁ
060704 N- ----GSM- Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
060704 P- -------- εἰς εἰς εἰς εἰς
060704 RA ----ASN- τὸ τὸ τό ὁ
060704 V- -AMN---- γενέσθαι γενέσθαι γενέσθαι γίνομαι
060704 RP ----AP-- ὑμᾶς ὑμᾶς ὑμᾶς σύ
060704 A- ----DSM- ἑτέρῳ, ἑτέρῳ ἑτέρῳ ἕτερος
060704 RA ----DSM- τῷ τῷ τῷ ὁ
060704 P- -------- ἐκ ἐκ ἐκ ἐκ
060704 A- ----GPM- νεκρῶν νεκρῶν νεκρῶν νεκρός
060704 V- -APPDSM- ἐγερθέντι ἐγερθέντι ἐγερθέντι ἐγείρω
060704 C- -------- ἵνα ἵνα ἵνα ἵνα
060704 V- 1AAS-P-- καρποφορήσωμεν καρποφορήσωμεν καρποφορήσωμεν καρποφορέω
060704 RA ----DSM- τῷ τῷ τῷ ὁ
060704 N- ----DSM- θεῷ. θεῷ θεῷ θεός
060705 C- -------- ὅτε ὅτε ὅτε ὅτε
060705 C- -------- γὰρ γὰρ γάρ γάρ
060705 V- 1IAI-P-- ἦμεν ἦμεν ἦμεν εἰμί
060705 P- -------- ἐν ἐν ἐν ἐν
060705 RA ----DSF- τῇ τῇ τῇ ὁ
060705 N- ----DSF- σαρκί, σαρκί σαρκί σάρξ
060705 RA ----NPN- τὰ τὰ τά ὁ
060705 N- ----NPN- παθήματα παθήματα παθήματα πάθημα
060705 RA ----GPF- τῶν τῶν τῶν ὁ
