190401 V- 1APS-P-- Φοβηθῶμεν Φοβηθῶμεν φοβηθῶμεν φοβέομαι
190401 C- -------- οὖν οὖν οὖν οὖν
190401 C- -------- μήποτε μήποτε μήποτε μήποτε
190401 V- -PPPGSF- καταλειπομένης καταλειπομένης καταλειπομένης καταλείπω
190401 N- ----GSF- ἐπαγγελίας ἐπαγγελίας ἐπαγγελίας ἐπαγγελία
190401 V- -AAN---- εἰσελθεῖν εἰσελθεῖν εἰσελθεῖν εἰσέρχομαι
190401 P- -------- εἰς εἰς εἰς εἰς
190401 RA ----ASF- τὴν τὴν τήν ὁ
190401 N- ----ASF- κατάπαυσιν κατάπαυσιν κατάπαυσιν κατάπαυσις
190401 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
190401 V- 3PAS-S-- δοκῇ δοκῇ δοκῇ δοκέω
190401 RI ----NSM- τις τις τις τις
190401 P- -------- ἐξ ἐξ ἐκ ἐκ
190401 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
190401 V- -XAN---- ὑστερηκέναι· ὑστερηκέναι ὑστερηκέναι ὑστερέω
190402 D- -------- καὶ καὶ καί καί
190402 C- -------- γάρ γάρ γάρ γάρ
190402 V- 1PAI-P-- ἐσμεν ἐσμεν ἐσμέν εἰμί
190402 V- -XPPNPM- εὐηγγελισμένοι εὐηγγελισμένοι εὐηγγελισμένοι εὐαγγελίζω
190402 C- -------- καθάπερ καθάπερ καθάπερ καθάπερ
190402 RD ----NPM- κἀκεῖνοι, κἀκεῖνοι κἀκεῖνοι κἀκεῖνος
190402 C- -------- ἀλλ’ ἀλλ’ ἀλλά ἀλλά
190402 D- -------- οὐκ οὐκ οὐ οὐ
190402 V- 3AAI-S-- ὠφέλησεν ὠφέλησεν ὠφέλησε(ν) ὠφελέω
190402 RA ----NSM- ὁ ὁ ὁ ὁ
190402 N- ----NSM- λόγος λόγος λόγος λόγος
190402 RA ----GSF- τῆς τῆς τῆς ὁ
190402 N- ----GSF- ἀκοῆς ἀκοῆς ἀκοῆς ἀκοή
190402 RD ----APM- ἐκείνους, ἐκείνους ἐκείνους ἐκεῖνος
190402 D- -------- μὴ μὴ μή μή
190402 V- -XPPAPM- ⸀συγκεκερασμένους συγκεκερασμένους συγκεκερασμένους συγκεράννυμι
190402 RA ----DSF- τῇ τῇ τῇ ὁ
190402 N- ----DSF- πίστει πίστει πίστει πίστις
190402 RA ----DPM- τοῖς τοῖς τοῖς ὁ
190402 V- -AAPDPM- ἀκούσασιν. ἀκούσασιν ἀκούσασι(ν) ἀκούω
190403 V- 1PMI-P-- εἰσερχόμεθα εἰσερχόμεθα εἰσερχόμεθα εἰσέρχομαι
190403 C- -------- γὰρ γὰρ γάρ γάρ
190403 P- -------- ⸀εἰς εἰς εἰς εἰς
190403 N- ----ASF- κατάπαυσιν κατάπαυσιν κατάπαυσιν κατάπαυσις
190403 RA ----NPM- οἱ οἱ οἱ ὁ
190403 V- -AAPNPM- πιστεύσαντες, πιστεύσαντες πιστεύσαντες πιστεύω
190403 C- -------- καθὼς καθὼς καθώς καθώς
190403 V- 3XAI-S-- εἴρηκεν· εἴρηκεν εἴρηκε(ν) λέγω
190403 C- -------- Ὡς Ὡς ὡς ὡς
190403 V- 1AAI-S-- ὤμοσα ὤμοσα ὤμοσα ὀμνύω
190403 P- -------- ἐν ἐν ἐν ἐν
190403 RA ----DSF- τῇ τῇ τῇ ὁ
190403 N- ----DSF- ὀργῇ ὀργῇ ὀργῇ ὀργή
190403 RP ----GS-- μου, μου μου ἐγώ
190403 C- -------- Εἰ Εἰ εἰ εἰ
190403 V- 3FMI-P-- εἰσελεύσονται εἰσελεύσονται εἰσελεύσονται εἰσέρχομαι
