061501 V- 1PAI-P-- Ὀφείλομεν Ὀφείλομεν ὀφείλομεν ὀφείλω
061501 C- -------- δὲ δὲ δέ δέ
061501 RP ----NP-- ἡμεῖς ἡμεῖς ἡμεῖς ἐγώ
061501 RA ----NPM- οἱ οἱ οἱ ὁ
061501 A- ----NPM- δυνατοὶ δυνατοὶ δυνατοί δυνατός
061501 RA ----APN- τὰ τὰ τά ὁ
061501 N- ----APN- ἀσθενήματα ἀσθενήματα ἀσθενήματα ἀσθένημα
061501 RA ----GPM- τῶν τῶν τῶν ὁ
061501 A- ----GPM- ἀδυνάτων ἀδυνάτων ἀδυνάτων ἀδύνατος
061501 V- -PAN---- βαστάζειν, βαστάζειν βαστάζειν βαστάζω
061501 C- -------- καὶ καὶ καί καί
061501 D- -------- μὴ μὴ μή μή
061501 RP ----DPM- ἑαυτοῖς ἑαυτοῖς ἑαυτοῖς ἑαυτοῦ
061501 V- -PAN---- ἀρέσκειν. ἀρέσκειν ἀρέσκειν ἀρέσκω
061502 A- ----NSM- ἕκαστος ἕκαστος ἕκαστος ἕκαστος
061502 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
061502 RA ----DSM- τῷ τῷ τῷ ὁ
061502 D- -------- πλησίον πλησίον πλησίον πλησίον
061502 V- 3PAD-S-- ἀρεσκέτω ἀρεσκέτω ἀρεσκέτω ἀρέσκω
061502 P- -------- εἰς εἰς εἰς εἰς
061502 RA ----ASN- τὸ τὸ τό ὁ
061502 A- ----ASN- ἀγαθὸν ἀγαθὸν ἀγαθόν ἀγαθός
061502 P- -------- πρὸς πρὸς πρός πρός
061502 N- ----ASF- οἰκοδομήν· οἰκοδομήν οἰκοδομήν οἰκοδομή
061503 D- -------- καὶ καὶ καί καί
061503 C- -------- γὰρ γὰρ γάρ γάρ
061503 RA ----NSM- ὁ ὁ ὁ ὁ
061503 N- ----NSM- Χριστὸς Χριστὸς Χριστός Χριστός
061503 D- -------- οὐχ οὐχ οὐ οὐ
061503 RP ----DSM- ἑαυτῷ ἑαυτῷ ἑαυτῷ ἑαυτοῦ
061503 V- 3AAI-S-- ἤρεσεν· ἤρεσεν ἤρεσε(ν) ἀρέσκω
061503 C- -------- ἀλλὰ ἀλλὰ ἀλλά ἀλλά
061503 C- -------- καθὼς καθὼς καθώς καθώς
061503 V- 3XPI-S-- γέγραπται· γέγραπται γέγραπται γράφω
061503 RA ----NPM- Οἱ Οἱ οἱ ὁ
061503 N- ----NPM- ὀνειδισμοὶ ὀνειδισμοὶ ὀνειδισμοί ὀνειδισμός
061503 RA ----GPM- τῶν τῶν τῶν ὁ
