200501 V- 2PAD-S-- Ἄγε Ἄγε ἄγε ἄγε
200501 D- -------- νῦν νῦν νῦν νῦν
200501 RA ----VPM- οἱ οἱ οἱ ὁ
200501 A- ----VPM- πλούσιοι, πλούσιοι πλούσιοι πλούσιος
200501 V- 2AAD-P-- κλαύσατε κλαύσατε κλαύσατε κλαίω
200501 V- -PAPNPM- ὀλολύζοντες ὀλολύζοντες ὀλολύζοντες ὀλολύζω
200501 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
200501 RA ----DPF- ταῖς ταῖς ταῖς ὁ
200501 N- ----DPF- ταλαιπωρίαις ταλαιπωρίαις ταλαιπωρίαις ταλαιπωρία
200501 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
200501 RA ----DPF- ταῖς ταῖς ταῖς ὁ
200501 V- -PMPDPF- ἐπερχομέναις. ἐπερχομέναις ἐπερχομέναις ἐπέρχομαι
200502 RA ----NSM- ὁ ὁ ὁ ὁ
200502 N- ----NSM- πλοῦτος πλοῦτος πλοῦτος πλοῦτος
200502 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
200502 V- 3XAI-S-- σέσηπεν, σέσηπεν σέσηπε(ν) σήπω
200502 C- -------- καὶ καὶ καί καί
200502 RA ----NPN- τὰ τὰ τά ὁ
200502 N- ----NPN- ἱμάτια ἱμάτια ἱμάτια ἱμάτιον
200502 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
200502 A- ----NPN- σητόβρωτα σητόβρωτα σητόβρωτα σητόβρωτος
200502 V- 3XAI-S-- γέγονεν, γέγονεν γέγονε(ν) γίνομαι
200503 RA ----NSM- ὁ ὁ ὁ ὁ
200503 N- ----NSM- χρυσὸς χρυσὸς χρυσός χρυσός
200503 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
200503 C- -------- καὶ καὶ καί καί
200503 RA ----NSM- ὁ ὁ ὁ ὁ
200503 N- ----NSM- ἄργυρος ἄργυρος ἄργυρος ἄργυρος
200503 V- 3XPI-S-- κατίωται, κατίωται κατίωται κατιόομαι
200503 C- -------- καὶ καὶ καί καί
200503 RA ----NSM- ὁ ὁ ὁ ὁ
200503 N- ----NSM- ἰὸς ἰὸς ἰός ἰός
200503 RP ----GPM- αὐτῶν αὐτῶν αὐτῶν αὐτός
200503 P- -------- εἰς εἰς εἰς εἰς
200503 N- ----ASN- μαρτύριον μαρτύριον μαρτύριον μαρτύριον
200503 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
