071501 V- 1PAI-S-- Γνωρίζω Γνωρίζω γνωρίζω γνωρίζω
071501 C- -------- δὲ δὲ δέ δέ
071501 RP ----DP-- ὑμῖν, ὑμῖν ὑμῖν σύ
071501 N- ----VPM- ἀδελφοί, ἀδελφοί ἀδελφοί ἀδελφός
071501 RA ----ASN- τὸ τὸ τό ὁ
071501 N- ----ASN- εὐαγγέλιον εὐαγγέλιον εὐαγγέλιον εὐαγγέλιον
071501 RR ----ASN- ὃ ὃ ὅ ὅς
071501 V- 1AMI-S-- εὐηγγελισάμην εὐηγγελισάμην εὐηγγελισάμην εὐαγγελίζω
071501 RP ----DP-- ὑμῖν, ὑμῖν ὑμῖν σύ
071501 RR ----ASN- ὃ ὃ ὅ ὅς
071501 D- -------- καὶ καὶ καί καί
071501 V- 2AAI-P-- παρελάβετε, παρελάβετε παρελάβετε παραλαμβάνω
071501 P- -------- ἐν ἐν ἐν ἐν
071501 RR ----DSN- ᾧ ᾧ ᾧ ὅς
071501 D- -------- καὶ καὶ καί καί
071501 V- 2XAI-P-- ἑστήκατε, ἑστήκατε ἑστήκατε ἵστημι
071502 P- -------- δι’ δι’ διά διά
071502 RR ----GSN- οὗ οὗ οὗ ὅς
071502 D- -------- καὶ καὶ καί καί
071502 V- 2PPI-P-- σῴζεσθε, σῴζεσθε σῴζεσθε σῴζω
071502 RI ----DSM- τίνι τίνι τίνι τίς
071502 N- ----DSM- λόγῳ λόγῳ λόγῳ λόγος
071502 V- 1AMI-S-- εὐηγγελισάμην εὐηγγελισάμην εὐηγγελισάμην εὐαγγελίζω
071502 RP ----DP-- ὑμῖν, ὑμῖν ὑμῖν σύ
071502 C- -------- εἰ εἰ εἰ εἰ
071502 V- 2PAI-P-- κατέχετε, κατέχετε κατέχετε κατέχω
071502 D- -------- ἐκτὸς ἐκτὸς ἐκτός ἐκτός
071502 C- -------- εἰ εἰ εἰ εἰ
071502 D- -------- μὴ μὴ μή μή
071502 D- -------- εἰκῇ εἰκῇ εἰκῇ εἰκῇ
071502 V- 2AAI-P-- ἐπιστεύσατε. ἐπιστεύσατε ἐπιστεύσατε πιστεύω
071503 V- 1AAI-S-- Παρέδωκα Παρέδωκα παρέδωκα παραδίδωμι
071503 C- -------- γὰρ γὰρ γάρ γάρ
071503 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
071503 P- -------- ἐν ἐν ἐν ἐν
071503 A- ----DPN- πρώτοις, πρώτοις πρώτοις πρῶτος
071503 RR ----ASN- ὃ ὃ ὅ ὅς
071503 D- -------- καὶ καὶ καί καί
071503 V- 1AAI-S-- παρέλαβον, παρέλαβον παρέλαβον παραλαμβάνω
071503 D- -------- ὅτι ὅτι ὅτι ὅτι
071503 N- ----NSM- Χριστὸς Χριστὸς Χριστός Χριστός
071503 V- 3AAI-S-- ἀπέθανεν ἀπέθανεν ἀπέθανε(ν) ἀποθνῄσκω
071503 P- -------- ὑπὲρ ὑπὲρ ὑπέρ ὑπέρ
071503 RA ----GPF- τῶν τῶν τῶν ὁ
071503 N- ----GPF- ἁμαρτιῶν ἁμαρτιῶν ἁμαρτιῶν ἁμαρτία
071503 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
071503 P- -------- κατὰ κατὰ κατά κατά
071503 RA ----APF- τὰς τὰς τάς ὁ
071503 N- ----APF- γραφάς, γραφάς γραφάς γραφή
071504 C- -------- καὶ καὶ καί καί
071504 D- -------- ὅτι ὅτι ὅτι ὅτι
071504 V- 3API-S-- ἐτάφη, ἐτάφη ἐτάφη θάπτω
071504 C- -------- καὶ καὶ καί καί
071504 D- -------- ὅτι ὅτι ὅτι ὅτι
071504 V- 3XPI-S-- ἐγήγερται ἐγήγερται ἐγήγερται ἐγείρω
071504 RA ----DSF- τῇ τῇ τῇ ὁ
071504 N- ----DSF- ⸂ἡμέρᾳ ἡμέρᾳ ἡμέρᾳ ἡμέρα
071504 RA ----DSF- τῇ τῇ τῇ ὁ
071504 A- ----DSF- τρίτῃ⸃ τρίτῃ τρίτῃ τρίτος
071504 P- -------- κατὰ κατὰ κατά κατά
071504 RA ----APF- τὰς τὰς τάς ὁ
071504 N- ----APF- γραφάς, γραφάς γραφάς γραφή
071505 C- -------- καὶ καὶ καί καί
071505 D- -------- ὅτι ὅτι ὅτι ὅτι
071505 V- 3API-S-- ὤφθη ὤφθη ὤφθη ὁράω
071505 N- ----DSM- Κηφᾷ, Κηφᾷ Κηφᾷ Κηφᾶς
071505 D- -------- εἶτα εἶτα εἶτα εἶτα
071505 RA ----DPM- τοῖς τοῖς τοῖς ὁ
071505 A- ----DPM- δώδεκα· δώδεκα δώδεκα δώδεκα
071506 D- -------- ἔπειτα ἔπειτα ἔπειτα ἔπειτα
071506 V- 3API-S-- ὤφθη ὤφθη ὤφθη ὁράω
071506 D- -------- ἐπάνω ἐπάνω ἐπάνω ἐπάνω
071506 A- ----DPM- πεντακοσίοις πεντακοσίοις πεντακοσίοις πεντακόσιοι
071506 N- ----DPM- ἀδελφοῖς ἀδελφοῖς ἀδελφοῖς ἀδελφός
071506 D- -------- ἐφάπαξ, ἐφάπαξ ἐφάπαξ ἐφάπαξ
071506 P- -------- ἐξ ἐξ ἐκ ἐκ
071506 RR ----GPM- ὧν ὧν ὧν ὅς
071506 RA ----NPM- οἱ οἱ οἱ ὁ
071506 A- ----NPMC ⸀πλείονες πλείονες πλείονες πολύς
071506 V- 3PAI-P-- μένουσιν μένουσιν μένουσι(ν) μένω
071506 P- -------- ἕως ἕως ἕως ἕως
071506 D- -------- ἄρτι, ἄρτι ἄρτι ἄρτι
071506 RI ----NPM- τινὲς τινὲς τινές τις
071506 C- -------- ⸀δὲ δὲ δέ δέ
071506 V- 3API-P-- ἐκοιμήθησαν· ἐκοιμήθησαν ἐκοιμήθησαν κοιμάομαι
071507 D- -------- ἔπειτα ἔπειτα ἔπειτα ἔπειτα
071507 V- 3API-S-- ὤφθη ὤφθη ὤφθη ὁράω
071507 N- ----DSM- Ἰακώβῳ, Ἰακώβῳ Ἰακώβῳ Ἰάκωβος
071507 D- -------- εἶτα εἶτα εἶτα εἶτα
