230501 A- ----NSM- Πᾶς Πᾶς πᾶς πᾶς
230501 RA ----NSM- ὁ ὁ ὁ ὁ
230501 V- -PAPNSM- πιστεύων πιστεύων πιστεύων πιστεύω
230501 C- -------- ὅτι ὅτι ὅτι ὅτι
230501 N- ----NSM- Ἰησοῦς Ἰησοῦς Ἰησοῦς Ἰησοῦς
230501 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
230501 RA ----NSM- ὁ ὁ ὁ ὁ
230501 N- ----NSM- χριστὸς χριστὸς Χριστός Χριστός
230501 P- -------- ἐκ ἐκ ἐκ ἐκ
230501 RA ----GSM- τοῦ τοῦ τοῦ ὁ
230501 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
230501 V- 3XPI-S-- γεγέννηται, γεγέννηται γεγέννηται γεννάω
230501 C- -------- καὶ καὶ καί καί
230501 A- ----NSM- πᾶς πᾶς πᾶς πᾶς
230501 RA ----NSM- ὁ ὁ ὁ ὁ
230501 V- -PAPNSM- ἀγαπῶν ἀγαπῶν ἀγαπῶν ἀγαπάω
230501 RA ----ASM- τὸν τὸν τόν ὁ
230501 V- -AAPASM- γεννήσαντα γεννήσαντα γεννήσαντα γεννάω
230501 V- 3PAI-S-- ἀγαπᾷ ἀγαπᾷ ἀγαπᾷ ἀγαπάω
230501 D- -------- καὶ καὶ καί καί
230501 RA ----ASM- τὸν τὸν τόν ὁ
230501 V- -XPPASM- γεγεννημένον γεγεννημένον γεγεννημένον γεννάω
230501 P- -------- ἐξ ἐξ ἐκ ἐκ
230501 RP ----GSM- αὐτοῦ. αὐτοῦ αὐτοῦ αὐτός
230502 P- -------- ἐν ἐν ἐν ἐν
230502 RD ----DSN- τούτῳ τούτῳ τούτῳ οὗτος
230502 V- 1PAI-P-- γινώσκομεν γινώσκομεν γινώσκομεν γινώσκω
230502 C- -------- ὅτι ὅτι ὅτι ὅτι
230502 V- 1PAI-P-- ἀγαπῶμεν ἀγαπῶμεν ἀγαπῶμεν ἀγαπάω
230502 RA ----APN- τὰ τὰ τά ὁ
230502 N- ----APN- τέκνα τέκνα τέκνα τέκνον
230502 RA ----GSM- τοῦ τοῦ τοῦ ὁ
230502 N- ----GSM- θεοῦ, θεοῦ θεοῦ θεός
230502 C- -------- ὅταν ὅταν ὅταν ὅταν
230502 RA ----ASM- τὸν τὸν τόν ὁ
230502 N- ----ASM- θεὸν θεὸν θεόν θεός
230502 V- 1PAS-P-- ἀγαπῶμεν ἀγαπῶμεν ἀγαπῶμεν ἀγαπάω
230502 C- -------- καὶ καὶ καί καί
230502 RA ----APF- τὰς τὰς τάς ὁ
230502 N- ----APF- ἐντολὰς ἐντολὰς ἐντολάς ἐντολή
230502 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
230502 V- 1PAS-P-- ποιῶμεν· ποιῶμεν ποιῶμεν ποιέω
230503 RD ----NSF- αὕτη αὕτη αὕτη οὗτος
230503 C- -------- γάρ γάρ γάρ γάρ
230503 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
230503 RA ----NSF- ἡ ἡ ἡ ὁ
230503 N- ----NSF- ἀγάπη ἀγάπη ἀγάπη ἀγάπη
230503 RA ----GSM- τοῦ τοῦ τοῦ ὁ
230503 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
230503 D- -------- ἵνα ἵνα ἵνα ἵνα
230503 RA ----APF- τὰς τὰς τάς ὁ
230503 N- ----APF- ἐντολὰς ἐντολὰς ἐντολάς ἐντολή
230503 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
230503 V- 1PAS-P-- τηρῶμεν, τηρῶμεν τηρῶμεν τηρέω
230503 C- -------- καὶ καὶ καί καί
230503 RA ----NPF- αἱ αἱ αἱ ὁ
